,Frobenius,Correlation,site,seed,algorithm
1,3.597546534933661,0.689205459731638,CNSR 2,1,Extra Trees
2,2.0912301659292623,0.784904075763501,CNSR 3,1,Extra Trees
3,2.314866136614882,0.9333751290745164,TOP1,1,Extra Trees
4,1.988633115234732,0.9042370488170391,TOP2,1,Extra Trees
5,2.245334840538688,0.7888232861892099,CNSR 1,2,Extra Trees
6,4.060949578074388,0.6082718662558771,CNSR 2,2,Extra Trees
7,2.152389592440441,0.7837945073130079,CNSR 3,2,Extra Trees
8,1.9204439262928483,0.940234161133439,TOP1,2,Extra Trees
9,2.0612607847601314,0.8947552945577045,TOP2,2,Extra Trees
10,2.28430743276005,0.7906063876973859,CNSR 1,3,Extra Trees
11,3.8969410321267786,0.6766615912834221,CNSR 2,3,Extra Trees
12,2.116850695765585,0.8115346595830344,CNSR 3,3,Extra Trees
13,2.1940076015642545,0.935959063492852,TOP1,3,Extra Trees
14,1.8415194852505032,0.9144206095969134,TOP2,3,Extra Trees
15,2.097852718242967,0.816122990594395,CNSR 1,4,Extra Trees
16,3.6137047812416143,0.6903402572575092,CNSR 2,4,Extra Trees
17,2.180074410256624,0.7805789118485544,CNSR 3,4,Extra Trees
18,2.218195160725192,0.9345778985111116,TOP1,4,Extra Trees
19,1.9974097279904095,0.8948702623197302,TOP2,4,Extra Trees
20,1.930449613631344,0.8481463214120839,CNSR 1,5,Extra Trees
21,3.896635026845438,0.636856123561176,CNSR 2,5,Extra Trees
22,2.3762900616465634,0.7538426034441412,CNSR 3,5,Extra Trees
23,2.06013663142725,0.9389621519199788,TOP1,5,Extra Trees
24,2.1531098909513187,0.882032239041335,TOP2,5,Extra Trees
25,2.270651269367292,0.7783993462303118,CNSR 1,6,Extra Trees
26,3.9488336241972126,0.6579581020067344,CNSR 2,6,Extra Trees
27,2.143433020159775,0.7918000956594028,CNSR 3,6,Extra Trees
28,2.041172590227479,0.9415162205670288,TOP1,6,Extra Trees
29,1.993706704054816,0.8976751679517406,TOP2,6,Extra Trees
30,2.057440123707732,0.8238238921488042,CNSR 1,7,Extra Trees
31,3.634450670620201,0.6837425283658436,CNSR 2,7,Extra Trees
32,2.128693938111299,0.7896363788725725,CNSR 3,7,Extra Trees
33,2.025122906516592,0.9456055124298128,TOP1,7,Extra Trees
34,1.9837848229491133,0.9019701085883474,TOP2,7,Extra Trees
35,2.1189317025488155,0.8101087072108706,CNSR 1,8,Extra Trees
36,3.710502104281417,0.675991794713366,CNSR 2,8,Extra Trees
37,2.2401085102736853,0.7557241869312793,CNSR 3,8,Extra Trees
38,2.060312275402053,0.93723839553558,TOP1,8,Extra Trees
39,1.9929921294987567,0.8956172990263557,TOP2,8,Extra Trees
40,2.131194658575109,0.8062082088182637,CNSR 1,9,Extra Trees
41,3.9679205123793984,0.6329202173098478,CNSR 2,9,Extra Trees
42,2.121703052081924,0.7800314543488122,CNSR 3,9,Extra Trees
43,2.100323392388475,0.9395039988586686,TOP1,9,Extra Trees
44,1.928140872148816,0.904878148081125,TOP2,9,Extra Trees
45,2.19736302109822,0.8008012634959341,CNSR 1,10,Extra Trees
46,3.673249902395419,0.691233776073566,CNSR 2,10,Extra Trees
47,2.113991361654542,0.7787131847601438,CNSR 3,10,Extra Trees
48,2.2114479150261177,0.9363563302515258,TOP1,10,Extra Trees
49,1.9514895494988749,0.9050988351878988,TOP2,10,Extra Trees
0,2.609191144699333,0.7829162502712576,CNSR 1,1,AutoComplete
1,4.66159163824072,0.6069786830219458,CNSR 2,1,AutoComplete
2,2.4729582680876656,0.7604166681865486,CNSR 3,1,AutoComplete
3,2.620397730132648,0.8772834423265446,TOP1,1,AutoComplete
4,1.8653069862196328,0.904359454220248,TOP2,1,AutoComplete
5,2.827115620589727,0.7207362762418732,CNSR 1,2,AutoComplete
6,4.41845875551427,0.6170491338323786,CNSR 2,2,AutoComplete
7,2.2464594921144307,0.7839709162462524,CNSR 3,2,AutoComplete
8,2.85327867890296,0.8532477986808239,TOP1,2,AutoComplete
9,2.446119668916188,0.8306896107831603,TOP2,2,AutoComplete
10,2.698997650160172,0.7773250476391618,CNSR 1,3,AutoComplete
11,5.178353017344401,0.5879334356347634,CNSR 2,3,AutoComplete
12,2.151915188463932,0.793514455355246,CNSR 3,3,AutoComplete
13,2.628027805543301,0.879235023456644,TOP1,3,AutoComplete
14,2.2923692427503712,0.8542761485631629,TOP2,3,AutoComplete
15,2.7540016782314845,0.7891878514803145,CNSR 1,4,AutoComplete
16,4.774767481907933,0.5646972336248821,CNSR 2,4,AutoComplete
17,2.432263841925703,0.7411714890404092,CNSR 3,4,AutoComplete
18,2.7445082099488705,0.863366665613482,TOP1,4,AutoComplete
19,2.3604880542434423,0.8532577516142356,TOP2,4,AutoComplete
20,2.243469798133561,0.8344745039782104,CNSR 1,5,AutoComplete
21,4.619556127854648,0.581937689014108,CNSR 2,5,AutoComplete
22,2.1122361493160446,0.7870448177280656,CNSR 3,5,AutoComplete
23,2.623549889201698,0.8755284164275462,TOP1,5,AutoComplete
24,2.1244276282072625,0.8738597778392443,TOP2,5,AutoComplete
25,2.624949406023692,0.7634544170934761,CNSR 1,6,AutoComplete
26,4.626708846921931,0.6060970442958103,CNSR 2,6,AutoComplete
27,2.349815599275331,0.7782382885336132,CNSR 3,6,AutoComplete
28,2.5647880397020093,0.8820561709977504,TOP1,6,AutoComplete
29,2.41091514547089,0.8420528137940095,TOP2,6,AutoComplete
30,2.4678515230064137,0.7800226468583695,CNSR 1,7,AutoComplete
31,4.247403811615843,0.6109282874682187,CNSR 2,7,AutoComplete
32,2.3578450306631846,0.7163544354462916,CNSR 3,7,AutoComplete
33,2.7288999367974878,0.8665421803613,TOP1,7,AutoComplete
34,2.0426245776523966,0.8822290415140824,TOP2,7,AutoComplete
35,2.753048310605261,0.7677449108265756,CNSR 1,8,AutoComplete
36,4.926397124169582,0.578145374599413,CNSR 2,8,AutoComplete
37,2.532622426266141,0.7291570582548915,CNSR 3,8,AutoComplete
38,2.403907130515223,0.8976341370940074,TOP1,8,AutoComplete
39,1.9831661202845945,0.8889119422379698,TOP2,8,AutoComplete
40,2.534138411434943,0.7912041091806262,CNSR 1,9,AutoComplete
41,5.513794158320646,0.4953090387443023,CNSR 2,9,AutoComplete
42,2.6858663828112226,0.6980437976128654,CNSR 3,9,AutoComplete
43,2.475836143451375,0.8902557996396054,TOP1,9,AutoComplete
44,1.7784054143816204,0.91382476302864,TOP2,9,AutoComplete
45,2.358902385106144,0.8094504851657016,CNSR 1,10,AutoComplete
46,4.969922289517447,0.5703738121234398,CNSR 2,10,AutoComplete
47,2.454786585858843,0.7310134112214097,CNSR 3,10,AutoComplete
48,2.7832003763966684,0.8617851699098102,TOP1,10,AutoComplete
49,2.1868294011230427,0.8678318646011914,TOP2,10,AutoComplete
0,2.133294106146014,0.799048538627416,CNSR 1,1,Hierarchical approach
1,3.779998618464695,0.5920818685818942,CNSR 2,1,Hierarchical approach
2,2.2982391229169155,0.6620648028728832,CNSR 3,1,Hierarchical approach
3,1.722955941699236,0.9408193545794556,TOP1,1,Hierarchical approach
4,1.8909088213574965,0.9065205331179488,TOP2,1,Hierarchical approach
5,2.307495407665384,0.7603505798205027,CNSR 1,2,Hierarchical approach
6,3.8692205717382455,0.5919309876957015,CNSR 2,2,Hierarchical approach
7,2.284003552462225,0.6680058880984413,CNSR 3,2,Hierarchical approach
8,1.7935050297610202,0.9336678417281032,TOP1,2,Hierarchical approach
9,1.8241485368066293,0.918833938024359,TOP2,2,Hierarchical approach
10,2.179985994380372,0.792526051978444,CNSR 1,3,Hierarchical approach
11,3.955452106811656,0.5612049712198457,CNSR 2,3,Hierarchical approach
12,2.3622679808114686,0.6392784876895853,CNSR 3,3,Hierarchical approach
13,1.902435375519929,0.9247021490590576,TOP1,3,Hierarchical approach
14,1.7761518561218648,0.9176668878827084,TOP2,3,Hierarchical approach
15,2.220053336581133,0.7804866293939351,CNSR 1,4,Hierarchical approach
16,3.818268040500157,0.5987604260813983,CNSR 2,4,Hierarchical approach
17,2.202799950775853,0.6980609463401627,CNSR 3,4,Hierarchical approach
18,1.796876530567016,0.9331716793202178,TOP1,4,Hierarchical approach
19,1.826233923205601,0.914849010058297,TOP2,4,Hierarchical approach
20,2.2819008199003767,0.7731647500553712,CNSR 1,5,Hierarchical approach
21,3.868993459292409,0.590071790089442,CNSR 2,5,Hierarchical approach
22,2.2957772645703693,0.6656190056468819,CNSR 3,5,Hierarchical approach
23,1.860113109838797,0.9303349282303895,TOP1,5,Hierarchical approach
24,1.7550804356153664,0.9231915938750694,TOP2,5,Hierarchical approach
25,2.033025265669998,0.8194961474957544,CNSR 1,6,Hierarchical approach
26,3.7601456097852073,0.6036523876396487,CNSR 2,6,Hierarchical approach
27,2.157205339306103,0.7084120700269352,CNSR 3,6,Hierarchical approach
28,1.7878213624250654,0.9352362679280743,TOP1,6,Hierarchical approach
29,1.6397945623493744,0.9285749706241596,TOP2,6,Hierarchical approach
30,2.2275184477908176,0.7770504540793577,CNSR 1,7,Hierarchical approach
31,3.927871112523152,0.5672845527968212,CNSR 2,7,Hierarchical approach
32,2.211686880867668,0.6899063295888769,CNSR 3,7,Hierarchical approach
33,1.763293724338776,0.9355530773704802,TOP1,7,Hierarchical approach
34,1.6449333216517086,0.9313835200832056,TOP2,7,Hierarchical approach
35,2.376805429297772,0.7559558462620455,CNSR 1,8,Hierarchical approach
36,4.022939526163918,0.5695421187125598,CNSR 2,8,Hierarchical approach
37,2.199279322258163,0.6944827845138947,CNSR 3,8,Hierarchical approach
38,1.7432064904212548,0.941179398466278,TOP1,8,Hierarchical approach
39,1.7901344255465734,0.9197499139597244,TOP2,8,Hierarchical approach
40,2.1687301019274283,0.794085894055313,CNSR 1,9,Hierarchical approach
41,3.726389463271481,0.609762242813089,CNSR 2,9,Hierarchical approach
42,2.3918679627947266,0.630683851711869,CNSR 3,9,Hierarchical approach
43,1.784759369454987,0.9344919781055272,TOP1,9,Hierarchical approach
44,1.7040103388036765,0.92364307904857,TOP2,9,Hierarchical approach
45,2.5360842069398446,0.7064926478944824,CNSR 1,10,Hierarchical approach
46,3.972737787811073,0.5669424744898277,CNSR 2,10,Hierarchical approach
47,2.363778420703226,0.6352522377653848,CNSR 3,10,Hierarchical approach
48,2.005420354186086,0.9160976768989452,TOP1,10,Hierarchical approach
49,1.8638676948272856,0.9131564713259176,TOP2,10,Hierarchical approach
0,2.754002240026395,0.6421436743990904,CNSR 1,1,MICE
1,4.54103907663401,0.3758945321810991,CNSR 2,1,MICE
2,2.3534521005666487,0.6460018152217358,CNSR 3,1,MICE
3,1.5705025570264437,0.9524761772111272,TOP1,1,MICE
4,1.535290198269965,0.9468879608187364,TOP2,1,MICE
5,2.822194164403059,0.6220195872276135,CNSR 1,2,MICE
6,4.343644417965381,0.4578095321386806,CNSR 2,2,MICE
7,2.27347334591069,0.6735312071126205,CNSR 3,2,MICE
8,1.4489528820965534,0.9589978675012586,TOP1,2,MICE
9,1.5224394837719175,0.9428072943685664,TOP2,2,MICE
10,2.649893950763191,0.6671426659244167,CNSR 1,3,MICE
11,4.143432313156146,0.4804582112591775,CNSR 2,3,MICE
12,2.2049728422104624,0.6937919216600238,CNSR 3,3,MICE
13,1.5094773919817237,0.9544696495274808,TOP1,3,MICE
14,1.5253943655587028,0.9464675118506332,TOP2,3,MICE
15,2.4673463145557784,0.7210967412483211,CNSR 1,4,MICE
16,4.340940096152599,0.4326621308898606,CNSR 2,4,MICE
17,2.0921984801749223,0.7292023491217302,CNSR 3,4,MICE
18,1.569614274089429,0.9524705913458996,TOP1,4,MICE
19,1.5383881804016066,0.9453560750987198,TOP2,4,MICE
20,2.544129027054241,0.6968716268751065,CNSR 1,5,MICE
21,4.247487683428134,0.4529236187673678,CNSR 2,5,MICE
22,2.388798579932411,0.630403326423348,CNSR 3,5,MICE
23,1.6223470638255482,0.9483911679071824,TOP1,5,MICE
24,1.631320196193789,0.9395673438138372,TOP2,5,MICE
25,2.725131382003485,0.6391341123928397,CNSR 1,6,MICE
26,4.4363635550311855,0.4172834309363224,CNSR 2,6,MICE
27,2.1963590079067616,0.696543891741227,CNSR 3,6,MICE
28,1.47582385945091,0.9576476210459978,TOP1,6,MICE
29,1.5849328146727506,0.9409453790178978,TOP2,6,MICE
30,2.4223697595381823,0.7339744100257262,CNSR 1,7,MICE
31,4.31119370094832,0.4480224293277103,CNSR 2,7,MICE
32,2.2199880828515126,0.6892715326238388,CNSR 3,7,MICE
33,1.562790227559874,0.9519235654004552,TOP1,7,MICE
