,variable,seed,algorithm,site,1-JS Divergence
156,WAIS3_DigitSpanBackwards_RawScore,4,AutoComplete,TOP1,0.0
157,VerbalFluency_Phonemic_RawScore,4,AutoComplete,TOP1,0.13542899579849987
158,WMS_ImmediateThematicRecall_A_RawScore,4,AutoComplete,TOP1,0.3042487771105401
159,CaliforniaVLT_Total_RawScore,4,AutoComplete,TOP1,0.10057645220924438
160,WCTS_FailureToMaintain_RawScore,4,AutoComplete,TOP1,0.009936216464875747
161,WASI_MatrixReasoning_RawScore,4,AutoComplete,TOP1,0.13795845505547288
162,WCTS_PerservativeError_RawScore,4,AutoComplete,TOP1,0.2055168807567851
163,WAIS3_DigitSpanForward_RawScore,4,AutoComplete,TOP1,1.1102230246251565e-16
164,DKEFS_ColorWordInterference_Inhibition_RawScore,4,AutoComplete,TOP1,0.13070764581070915
165,WMS_ImmediateThematicRecall_B_RawScore,4,AutoComplete,TOP1,1.1102230246251565e-16
166,ReyOCF_Copy_RawScore,4,AutoComplete,TOP1,0.07562915081709587
167,WASI_Vocabulary_RawScore,4,AutoComplete,TOP1,0.13621687391198578
168,WASI_Similarities_RawScore,4,AutoComplete,TOP1,0.10887908038031557
169,WCTS_PerservativeResponses_RawScore,4,AutoComplete,TOP1,0.24434876488326973
170,WMS_ImmediateStoryRecall_B_RawScore,4,AutoComplete,TOP1,0.15675187612967878
171,CaliforniaVLT_FreeRecall_RawScore,4,AutoComplete,TOP1,0.8904179398450965
172,GroovedPegs_NDominant_RawScore,4,AutoComplete,TOP1,0.16568131163161537
173,WMS_FreeRecall_RawScore,4,AutoComplete,TOP1,0.1376108416595786
174,WAIS3_DigitSpan_RawScore,4,AutoComplete,TOP1,0.11587792581533718
175,DigitSymbolCoding,4,AutoComplete,TOP1,0.1048741220765308
176,WCTS_NumberCategories_RawScore,4,AutoComplete,TOP1,0.060193079652792525
177,GroovedPegs_Dominant_RawScore,4,AutoComplete,TOP1,0.1817554964534558
178,WMS_TotalRecall_RawScore,4,AutoComplete,TOP1,0.15103284392168337
179,VerbalFluency_Letters,4,AutoComplete,TOP1,0.13542899579849987
180,WMS_ImmediateStoryRecall_A_RawScore,4,AutoComplete,TOP1,0.1567518761296791
181,WASI_BlockDesign_RawScore,4,AutoComplete,TOP1,0.14280191538498277
182,DKEFS_ColorWordInterference_Switching_RawScore,5,AutoComplete,TOP2,0.26644757362612825
183,WAIS3_DigitSpanBackwards_RawScore,5,AutoComplete,TOP2,0.23722527107911484
184,UPSAB_Total_RawScore,5,AutoComplete,TOP2,0.1659533451854377
185,WMS_ImmediateThematicRecall_A_RawScore,5,AutoComplete,TOP2,0.1991041148752014
186,WAIS3_DigitSpanForward_RawScore,5,AutoComplete,TOP2,1.1102230246251565e-16
187,DKEFS_ColorWordInterference_Inhibition_RawScore,5,AutoComplete,TOP2,0.19294021481102608
188,WMS_ImmediateThematicRecall_B_RawScore,5,AutoComplete,TOP2,0.1956168208469381
189,MCCB_Mazes_RawScore,5,AutoComplete,TOP2,0.09539275946502768
190,WASI_Vocabulary_RawScore,5,AutoComplete,TOP2,0.09039220957164018
191,WASI_Similarities_RawScore,5,AutoComplete,TOP2,0.2507242521810733
192,WMS_ImmediateStoryRecall_B_RawScore,5,AutoComplete,TOP2,0.1346537469786152
193,GroovedPegs_NDominant_RawScore,5,AutoComplete,TOP2,0.24404730021210397
194,WAIS3_DigitSpan_RawScore,5,AutoComplete,TOP2,0.17375331586410214
195,GroovedPegs_Dominant_RawScore,5,AutoComplete,TOP2,0.2360374933205469
196,WMS_TotalRecall_RawScore,5,AutoComplete,TOP2,0.2222623724033037
197,Trailmaking_test_part_A,5,AutoComplete,TOP2,0.1052712589451934
198,WMS_ImmediateStoryRecall_A_RawScore,5,AutoComplete,TOP2,0.14395203692103753
199,WASI_BlockDesign_RawScore,5,AutoComplete,TOP2,0.30841770926119505
200,DKEFS_ColorWordInterference_Switching_RawScore,5,AutoComplete,TOP1,0.20427033616771606
201,WAIS3_DigitSpanBackwards_RawScore,5,AutoComplete,TOP1,0.0
202,VerbalFluency_Phonemic_RawScore,5,AutoComplete,TOP1,0.08420598470238505
203,WMS_ImmediateThematicRecall_A_RawScore,5,AutoComplete,TOP1,0.3042487771105401
204,CaliforniaVLT_Total_RawScore,5,AutoComplete,TOP1,0.140883987345376
205,WCTS_FailureToMaintain_RawScore,5,AutoComplete,TOP1,0.018626186505143028
