,variable,1-JS Divergence,1-NMSE,site,seed,algorithm
254,WAIS3_MCCB_LetterNumberSeeq_RawScore,4.467060055191041e-11,-0.001461376560268,Average,4,Average
255,WCTS_FailureToMaintain_RawScore,4.7835402305906876e-11,-0.0105374096420765,Average,4,Average
256,CANTAB_SOCP_5MoveMoves_RawScore,1.188513731875673e-10,-0.0070620988322041,Average,4,Average
257,ReyOCF_Copy_RawScore,5.3322124493604406e-11,-0.0029339734862121,Average,4,Average
258,UPSAB_Total_RawScore,1.0240908121517124e-10,-0.0046690590727394,Average,4,Average
259,Rey_BVMT_LongTerm_RawScore,7.35369543036768e-11,-0.0015252206833031,Average,4,Average
260,CANTAB_ERT_MeanLatency_RawScore,0.0969270545480984,-0.0443784936575222,Average,4,Average
261,WCTS_PerservativeError_RawScore,0.1144179618056512,-0.0047109615074136,Average,4,Average
262,VerbalFluency_Letters,1.2256340387040154e-10,-0.002339113580827,Average,4,Average
263,CANTAB_IED_TotalErrorsAdjUncompleted_RawScore,0.0074805882730213,-0.0024370131476063,Average,4,Average
264,CANTAB_IED_StagesCompletedTrials_RawScore,0.0534391955422702,-0.0056534755177781,Average,5,Average
265,CANTAB_SOCP_AMoveITime_RawScore,0.0729751869320193,-0.006089162627292,Average,5,Average
266,GroovedPegs_NDominant_RawScore,0.062502801497043,-0.0020822100717226,Average,5,Average
267,CANTAB_RTI_MovementTime_RawScore,0.0810635564602789,-0.0058779571761959,Average,5,Average
