,variable,coverage,width,site,seed,algorithm
4,DKEFS_ColorWordInterference_Inhibition_RawScore,0.7932816537467701,2.1274359283439503,Average,10,MICE
5,DKEFS_ColorWordInterference_Switching_RawScore,0.8068481123792801,2.191368349123329,Average,10,MICE
6,GroovedPegs_Dominant_RawScore,0.7896678966789668,1.9980844634205128,Average,10,MICE
7,GroovedPegs_NDominant_RawScore,0.791320406278855,2.040746260051927,Average,10,MICE
8,HVLT_Total_RawScore,0.7256371814092953,1.8581788585735624,Average,10,MICE
9,MCCB_Mazes_RawScore,0.6321321321321322,2.0412968436620997,Average,10,MICE
10,ReyOCF_Copy_RawScore,0.2552301255230125,2.09538026842774,Average,10,MICE
11,Rey_BVMT_LongTerm_RawScore,0.7611940298507462,2.053702921128394,Average,10,MICE
12,Trailmaking_test_part_A,0.8132530120481928,2.4260429514933533,Average,10,MICE
13,UPSAB_Total_RawScore,0.7384196185286104,2.643540831875673,Average,10,MICE
14,VF_MCCB_SemnaticVerbalFluency_RawRelative,0.785958904109589,1.3987086303305007,Average,10,MICE
15,VerbalFluency_Phonemic_RawScore,0.7872763419483101,2.306189569223684,Average,10,MICE
16,WAIS3_BACS_SymbolCoding_RawRelative,0.7865072587532024,2.2233437129391818,Average,10,MICE
17,WAIS3_DigitSpanBackwards_RawScore,0.4763986013986014,1.5466408862291905,Average,10,MICE
18,WAIS3_DigitSpanForward_RawScore,0.4755244755244755,1.5505671246121542,Average,10,MICE
19,WAIS3_DigitSpan_RawScore,0.7290209790209791,1.1735914249588386,Average,10,MICE
20,WAIS3_MCCB_LetterNumberSeeq_RawScore,0.7272727272727273,1.7413326212750695,Average,10,MICE
21,WASI_BlockDesign_RawScore,0.7917133258678611,2.045217838246223,Average,10,MICE
22,WASI_MatrixReasoning_RawScore,0.7482935153583617,2.108970243629696,Average,10,MICE
23,WASI_Similarities_RawScore,0.7502799552071668,2.1709508040262504,Average,10,MICE
24,WASI_Vocabulary_RawScore,0.7835757057313943,2.11477908931557,Average,10,MICE
25,WCTS_FailureToMaintain_RawScore,0.1061643835616438,1.6762331063204874,Average,10,MICE
26,WCTS_NumberCategories_RawScore,0.3527397260273973,1.4041635114199051,Average,10,MICE
27,WCTS_PerservativeError_RawScore,0.4863013698630137,0.5590760003610646,Average,10,MICE
28,WCTS_PerservativeResponses_RawScore,0.5547945205479452,0.5654403286819432,Average,10,MICE
29,WMS_FreeRecall_RawScore,0.7683168316831683,1.1317444578041058,Average,10,MICE
30,WMS_ImmediateStoryRecall_A_RawScore,0.3701657458563536,0.4818697232905742,Average,10,MICE
31,WMS_ImmediateStoryRecall_B_RawScore,0.4465930018416206,0.5010003996737438,Average,10,MICE
32,WMS_ImmediateThematicRecall_A_RawScore,0.5377532228360957,1.4013167465374443,Average,10,MICE
33,WMS_ImmediateThematicRecall_B_RawScore,0.5920810313075506,2.08464160676849,Average,10,MICE
34,WMS_TotalRecall_RawScore,0.5524861878453039,0.3347910147531161,Average,10,MICE
0,CVLT_HVLT_Total_Delayedrecall_RawRelative,0.0,0.0,CNSR 1,10,Average
1,CVLT_HVLT_Total_RecognitionHits_RawRelative,0.0,0.0,CNSR 1,10,Average
2,CaliforniaVLT_FreeRecall_RawScore,0.0,0.0,CNSR 1,10,Average
3,CaliforniaVLT_Total_RawScore,0.0,0.0,CNSR 1,10,Average
4,DKEFS_ColorWordInterference_Inhibition_RawScore,0.0,0.0,CNSR 1,10,Average
5,DKEFS_ColorWordInterference_Switching_RawScore,0.0,0.0,CNSR 1,10,Average
6,DigitSymbolCoding,0.0,0.0,CNSR 1,10,Average
7,GroovedPegs_Dominant_RawScore,0.0,0.0,CNSR 1,10,Average
8,GroovedPegs_NDominant_RawScore,0.0,0.0,CNSR 1,10,Average
9,ReyOCF_Copy_RawScore,0.0,0.0,CNSR 1,10,Average
10,Rey_BVMT_LongTerm_RawScore,0.0,0.0,CNSR 1,10,Average
11,VF_MCCB_SemnaticVerbalFluency_RawRelative,0.0,0.0,CNSR 1,10,Average
12,VerbalFluency_Letters,0.0,0.0,CNSR 1,10,Average
13,VerbalFluency_Phonemic_RawScore,0.0,0.0,CNSR 1,10,Average
14,WAIS3_BACS_SymbolCoding_RawRelative,0.0,0.0,CNSR 1,10,Average
15,WAIS3_DigitSpanBackwards_RawScore,0.0,0.0,CNSR 1,10,Average
16,WAIS3_DigitSpanForward_RawScore,0.0,0.0,CNSR 1,10,Average
17,WAIS3_DigitSpan_RawScore,0.0,0.0,CNSR 1,10,Average
18,WAIS3_MCCB_LetterNumberSeeq_RawScore,0.0,0.0,CNSR 1,10,Average
19,WASI_BlockDesign_RawScore,0.0,0.0,CNSR 1,10,Average
20,WASI_MatrixReasoning_RawScore,0.0,0.0,CNSR 1,10,Average
21,WASI_Similarities_RawScore,0.0,0.0,CNSR 1,10,Average
22,WASI_Vocabulary_RawScore,0.0,0.0,CNSR 1,10,Average
23,WCTS_FailureToMaintain_RawScore,0.0,0.0,CNSR 1,10,Average
24,WCTS_NumberCategories_RawScore,0.0,0.0,CNSR 1,10,Average
25,WCTS_PerservativeError_RawScore,0.0,0.0,CNSR 1,10,Average
26,WCTS_PerservativeResponses_RawScore,0.0,0.0,CNSR 1,10,Average
27,WMS_FreeRecall_RawScore,0.0,0.0,CNSR 1,10,Average
28,WMS_ImmediateStoryRecall_A_RawScore,0.0,0.0,CNSR 1,10,Average
29,WMS_ImmediateStoryRecall_B_RawScore,0.0,0.0,CNSR 1,10,Average
30,WMS_ImmediateThematicRecall_A_RawScore,0.0,0.0,CNSR 1,10,Average
31,WMS_ImmediateThematicRecall_B_RawScore,0.0,0.0,CNSR 1,10,Average
32,WMS_TotalRecall_RawScore,0.0,0.0,CNSR 1,10,Average
33,CVLT_HVLT_Total_Delayedrecall_RawRelative,0.0,0.0,CNSR 2,10,Average
34,CVLT_HVLT_Total_RecognitionHits_RawRelative,0.0,0.0,CNSR 2,10,Average
35,DKEFS_ColorWordInterference_Inhibition_RawScore,0.0,0.0,CNSR 2,10,Average
36,DKEFS_ColorWordInterference_Switching_RawScore,0.0,0.0,CNSR 2,10,Average
37,GroovedPegs_Dominant_RawScore,0.0,0.0,CNSR 2,10,Average
38,GroovedPegs_NDominant_RawScore,0.0,0.0,CNSR 2,10,Average
39,HVLT_Total_RawScore,0.0,0.0,CNSR 2,10,Average
40,MCCB_Mazes_RawScore,0.0,0.0,CNSR 2,10,Average
41,Rey_BVMT_LongTerm_RawScore,0.0,0.0,CNSR 2,10,Average
42,Trailmaking_test_part_A,0.0,0.0,CNSR 2,10,Average
43,UPSAB_Total_RawScore,0.0,0.0,CNSR 2,10,Average
44,VF_MCCB_SemnaticVerbalFluency_RawRelative,0.0,0.0,CNSR 2,10,Average
45,WAIS3_BACS_SymbolCoding_RawRelative,0.0,0.0,CNSR 2,10,Average
46,WAIS3_DigitSpanBackwards_RawScore,0.0,0.0,CNSR 2,10,Average
47,WAIS3_DigitSpanForward_RawScore,0.0,0.0,CNSR 2,10,Average
48,WAIS3_DigitSpan_RawScore,0.0,0.0,CNSR 2,10,Average
49,WAIS3_MCCB_LetterNumberSeeq_RawScore,0.0,0.0,CNSR 2,10,Average
50,WASI_BlockDesign_RawScore,0.0,0.0,CNSR 2,10,Average
51,WASI_MatrixReasoning_RawScore,0.0,0.0,CNSR 2,10,Average
52,WASI_Similarities_RawScore,0.0,0.0,CNSR 2,10,Average
53,WASI_Vocabulary_RawScore,0.0,0.0,CNSR 2,10,Average
54,WMS_ImmediateStoryRecall_A_RawScore,0.0,0.0,CNSR 2,10,Average
55,WMS_ImmediateStoryRecall_B_RawScore,0.0,0.0,CNSR 2,10,Average
56,WMS_ImmediateThematicRecall_A_RawScore,0.0,0.0,CNSR 2,10,Average
57,WMS_ImmediateThematicRecall_B_RawScore,0.0,0.0,CNSR 2,10,Average
58,WMS_TotalRecall_RawScore,0.0,0.0,CNSR 2,10,Average
0,CVLT_HVLT_Total_Delayedrecall_RawRelative,0.1805555555555555,0.3453181533201503,CNSR 1,10,Extra Trees
1,CVLT_HVLT_Total_RecognitionHits_RawRelative,0.0755467196819085,0.3616970527297178,CNSR 1,10,Extra Trees
2,CaliforniaVLT_FreeRecall_RawScore,0.0119047619047619,2.266203821456954,CNSR 1,10,Extra Trees
3,CaliforniaVLT_Total_RawScore,0.4126984126984127,0.7310645791757159,CNSR 1,10,Extra Trees
4,DKEFS_ColorWordInterference_Inhibition_RawScore,0.2035928143712574,0.4047325511057884,CNSR 1,10,Extra Trees
5,DKEFS_ColorWordInterference_Switching_RawScore,0.2091633466135458,0.411758448065295,CNSR 1,10,Extra Trees
6,DigitSymbolCoding,0.8511904761904762,0.2757243961353272,CNSR 1,10,Extra Trees
7,GroovedPegs_Dominant_RawScore,0.2131474103585657,0.3982768498955338,CNSR 1,10,Extra Trees
8,GroovedPegs_NDominant_RawScore,0.2195608782435129,0.3814337144226181,CNSR 1,10,Extra Trees
9,ReyOCF_Copy_RawScore,0.3075313807531381,2.485660082070705,CNSR 1,10,Extra Trees
10,Rey_BVMT_LongTerm_RawScore,0.2063157894736842,0.4353067942355142,CNSR 1,10,Extra Trees
11,VF_MCCB_SemnaticVerbalFluency_RawRelative,0.1809145129224652,0.3834639493254973,CNSR 1,10,Extra Trees
12,VerbalFluency_Letters,0.9642147117296224,0.2547229653173897,CNSR 1,10,Extra Trees
13,VerbalFluency_Phonemic_RawScore,0.956262425447316,0.2624341705814305,CNSR 1,10,Extra Trees
14,WAIS3_BACS_SymbolCoding_RawRelative,0.8908730158730159,0.2908381251556583,CNSR 1,10,Extra Trees
15,WAIS3_DigitSpanBackwards_RawScore,0.1861386138613861,0.3110621016560149,CNSR 1,10,Extra Trees
16,WAIS3_DigitSpanForward_RawScore,0.1841584158415841,0.3196641909319054,CNSR 1,10,Extra Trees
17,WAIS3_DigitSpan_RawScore,0.2891089108910891,0.2759693291940715,CNSR 1,10,Extra Trees
18,WAIS3_MCCB_LetterNumberSeeq_RawScore,0.1544885177453027,0.391166237900071,CNSR 1,10,Extra Trees
19,WASI_BlockDesign_RawScore,0.2031872509960159,0.4804074036651732,CNSR 1,10,Extra Trees
20,WASI_MatrixReasoning_RawScore,0.2297029702970297,0.4349716602634394,CNSR 1,10,Extra Trees
21,WASI_Similarities_RawScore,0.2231075697211155,0.4329193223018913,CNSR 1,10,Extra Trees
22,WASI_Vocabulary_RawScore,0.2405566600397614,0.4760425100932416,CNSR 1,10,Extra Trees
23,WCTS_FailureToMaintain_RawScore,0.2020547945205479,1.718801966234517,CNSR 1,10,Extra Trees
24,WCTS_NumberCategories_RawScore,0.2705479452054795,0.6537738581720701,CNSR 1,10,Extra Trees
25,WCTS_PerservativeError_RawScore,0.702054794520548,0.3014390876939598,CNSR 1,10,Extra Trees
26,WCTS_PerservativeResponses_RawScore,0.6027397260273972,0.2984145306463424,CNSR 1,10,Extra Trees
27,WMS_FreeRecall_RawScore,0.2732673267326733,0.2867594040616024,CNSR 1,10,Extra Trees
28,WMS_ImmediateStoryRecall_A_RawScore,0.2772277227722772,0.2907361472596693,CNSR 1,10,Extra Trees
29,WMS_ImmediateStoryRecall_B_RawScore,0.300990099009901,0.3283279430275129,CNSR 1,10,Extra Trees
30,WMS_ImmediateThematicRecall_A_RawScore,0.2415841584158415,0.3924488003445364,CNSR 1,10,Extra Trees
31,WMS_ImmediateThematicRecall_B_RawScore,0.1821782178217821,0.3412875905969443,CNSR 1,10,Extra Trees
32,WMS_TotalRecall_RawScore,0.4891089108910891,0.2753598442331681,CNSR 1,10,Extra Trees
33,CVLT_HVLT_Total_Delayedrecall_RawRelative,0.217391304347826,0.4962274104165023,CNSR 2,10,Extra Trees
34,CVLT_HVLT_Total_RecognitionHits_RawRelative,0.0139968895800933,0.3910093210657115,CNSR 2,10,Extra Trees
35,DKEFS_ColorWordInterference_Inhibition_RawScore,0.2106060606060606,0.4031701813722818,CNSR 2,10,Extra Trees
36,DKEFS_ColorWordInterference_Switching_RawScore,0.1930926216640502,0.3661865882029618,CNSR 2,10,Extra Trees
37,GroovedPegs_Dominant_RawScore,0.1649484536082474,0.3741570734102349,CNSR 2,10,Extra Trees
38,GroovedPegs_NDominant_RawScore,0.1855670103092783,0.3752875210572051,CNSR 2,10,Extra Trees
39,HVLT_Total_RawScore,0.472263868065967,1.0039432459076336,CNSR 2,10,Extra Trees
40,MCCB_Mazes_RawScore,0.7087087087087087,2.971090652936707,CNSR 2,10,Extra Trees
41,Rey_BVMT_LongTerm_RawScore,0.2003012048192771,0.4519254907837,CNSR 2,10,Extra Trees
42,Trailmaking_test_part_A,0.7560240963855421,2.2842065006789354,CNSR 2,10,Extra Trees
43,UPSAB_Total_RawScore,0.7602179836512262,2.6352035403624225,CNSR 2,10,Extra Trees
44,VF_MCCB_SemnaticVerbalFluency_RawRelative,0.1954887218045112,0.4772075141112966,CNSR 2,10,Extra Trees
45,WAIS3_BACS_SymbolCoding_RawRelative,0.3748125937031484,0.8543555996963601,CNSR 2,10,Extra Trees
46,WAIS3_DigitSpanBackwards_RawScore,0.1799687010954616,0.302161822359168,CNSR 2,10,Extra Trees
47,WAIS3_DigitSpanForward_RawScore,0.1658841940532081,0.3066399359179061,CNSR 2,10,Extra Trees
48,WAIS3_DigitSpan_RawScore,0.2942097026604069,0.2875387989740469,CNSR 2,10,Extra Trees
